year,month,tsunami_event_validity,tsunami_cause_code,earthquake_magnitude,country,location_name,latitude,longitude,tsunami_intensity,total_deaths,total_damage_millions,total_houses_destroyed,total_injuries
2007,August,4.0,1.0,8.0,Peru,S. PERU,-13.386,-76.603,,514.0,,52154.0,1090.0
2007,September,4.0,1.0,7.2,Solomon Islands,SANTA CRUZ ISLANDS,-11.61,165.762,,,,,
2007,September,4.0,1.0,8.4,Indonesia,SUMATRA,-4.438,101.367,,25.0,,56425.0,161.0
2007,September,4.0,1.0,7.4,New Zealand,AUCKLAND ISLANDS,-49.418,163.954,,,,,
2007,November,4.0,1.0,7.7,Chile,NORTHERN CHILE,-22.247,-69.89,,2.0,,,65.0
2007,December,4.0,1.0,7.8,Kermadec Islands,KERMADEC ISLANDS,-25.996,-177.514,,,,,
2008,February,4.0,1.0,6.5,Indonesia,SUMATRA,-2.486,99.972,,,,,
2008,April,4.0,1.0,7.3,New Caledonia,LOYALTY ISLANDS,-20.071,168.892,,,,,
2008,July,4.0,1.0,6.9,Japan,OFF EAST COAST OF HONSHU ISLAND,37.552,142.214,,,,,
2008,September,4.0,1.0,6.8,Japan,HOKKAIDO ISLAND,41.892,143.754,,6.0,,,77.0
2008,November,4.0,1.0,7.3,Indonesia,SULAWESI,1.271,122.091,,6.0,,,77.0
2009,January,4.0,1.0,7.6,Indonesia,NEAR NORTH COAST,-0.414,132.885,,5.0,,,250.0
2009,January,4.0,1.0,7.4,Russian Federation,KAMCHATKA,46.857,155.154,,,,,
2009,February,4.0,1.0,7.2,Indonesia,CELEBES SEA,3.884,126.397,,,,,64.0
2009,March,4.0,1.0,7.6,Tonga,TONGA,-23.046,-174.659,,,,,
2009,May,4.0,1.0,7.3,Honduras,OFF COAST OF HONDURAS,16.72,-86.236,,7.0,,135.0,40.0
2009,July,4.0,1.0,6.4,Greece,CRETE,34.164,25.471,,,,,
2009,July,4.0,1.0,7.8,New Zealand,OFF WEST COAST OF SOUTH ISLAND,-45.762,166.562,,,,,
2009,August,4.0,1.0,6.4,Japan,HONSHU: S COAST,34.743,138.264,,1.0,,5192.0,123.0
2009,August,4.0,1.0,6.7,Indonesia,SUMATRA,-1.479,99.49,,,,,9.0
2009,September,4.0,1.0,7.0,Indonesia,JAVA SEA,-7.782,107.297,,81.0,,,1297.0
2009,September,4.0,1.0,8.1,Samoa,SAMOA ISLANDS,-15.489,-172.095,,192.0,285.0,,7.0
2009,September,4.0,1.0,7.5,Indonesia,SUMATRA,-0.72,99.867,,1117.0,2200.0,,1214.0
2009,October,4.0,1.0,7.6,Vanuatu,VANUATU ISLANDS,-13.006,166.51,,,,,
2010,January,4.0,1.0,6.6,Solomon Islands,SOLOMON ISLANDS,-8.743,157.477,,,,,
2010,January,4.0,1.0,7.1,Solomon Islands,SOLOMON ISLANDS,-8.799,157.346,,,,16.0,
2010,January,4.0,1.0,6.8,Solomon Islands,SOLOMON ISLANDS,-9.019,157.551,,,,,
2010,February,4.0,1.0,8.8,Chile,CENTRAL CHILE,-36.122,-72.898,,558.0,30000.0,,12000.0
2010,March,4.0,1.0,6.9,Chile,CENTRAL CHILE,-34.29,-71.891,,,,,
2010,April,4.0,1.0,7.8,Indonesia,SUMATRA,2.383,97.048,,,,,
2010,June,4.0,1.0,7.5,India,LITTLE NICOBAR ISLAND,7.881,91.936,,,,,
2010,August,4.0,1.0,7.2,Vanuatu,VANUATU ISLANDS,-17.541,168.069,,,,,
2010,August,4.0,1.0,6.9,Usa Territory,"GUAM, MARIANA ISLANDS",12.484,141.476,,,,,
2010,October,4.0,1.0,7.8,Indonesia,SUMATRA,-3.487,100.082,,431.0,39.0,700.0,
2010,December,4.0,1.0,7.4,Japan,BONIN ISLANDS,26.901,143.698,,,,,
2010,December,4.0,1.0,7.3,Vanuatu,VANUATU ISLANDS,-19.702,167.947,,,,,4.0
2011,January,4.0,1.0,6.5,Vanuatu,VANUATU ISLANDS,-19.157,168.311,,,,,
2011,February,4.0,1.0,6.8,Chile,CENTRAL CHILE,-36.474,-73.125,,,,,
2011,March,4.0,1.0,7.5,Japan,HONSHU ISLAND,38.435,142.842,,,,,
2011,March,4.0,1.0,9.1,Japan,HONSHU ISLAND,38.297,142.372,,18428.0,220136.6,123661.0,6167.0
2011,April,4.0,1.0,7.1,Japan,E. COAST HONSHU ISLAND,38.276,141.588,,3.0,,,132.0
2011,May,4.0,1.0,6.8,New Caledonia,LOYALTY ISLANDS,-20.244,168.226,,,,,
2011,June,4.0,1.0,7.3,United States,"ATKA, ALEUTIAN ISLANDS, AK",52.05,-171.836,,,,,
2011,July,4.0,1.0,7.6,New Zealand,KERMADEC ISLANDS,-29.539,-176.34,,,,,
2011,July,4.0,1.0,7.0,Japan,OFF EAST COAST OF HONSHU ISLAND,38.034,143.264,,,,,
2011,August,4.0,1.0,7.1,Vanuatu,VANUATU ISLANDS,-18.365,168.143,,,,,
2011,August,4.0,1.0,7.0,Vanuatu,VANUATU ISLANDS,-18.311,168.218,,,,,
2011,September,4.0,1.0,6.8,United States,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.171,-171.708,,,,,
2011,October,4.0,1.0,7.4,New Zealand,KERMADEC ISLANDS,-28.993,-176.238,,,,,
2012,February,4.0,1.0,7.0,Vanuatu,VANUATU ISLANDS,-17.827,167.133,,,,,
2012,March,4.0,1.0,6.7,Vanuatu,OFF EAST COAST OF VANUATU,-19.125,169.613,,,,,
2012,March,4.0,1.0,6.9,Japan,HOKKAIDO ISLAND,40.887,144.944,,,,,
2012,March,4.0,1.0,7.4,Mexico,S. MEXICO,16.493,-98.231,,2.0,600.0,800.0,13.0
2012,April,4.0,1.0,8.6,Indonesia,OFF W. COAST OF N SUMATRA,2.327,93.063,,10.0,,,12.0
2012,April,4.0,1.0,8.2,Indonesia,OFF W. COAST OF N SUMATRA,0.802,92.463,,,,,
2012,April,4.0,1.0,6.3,Vanuatu,VANUATU ISLANDS,-18.972,168.741,,,,,
2012,August,4.0,1.0,7.3,El Salvador,EL SALVADOR-NICARAGUA,12.139,-88.59,,,,,40.0
2012,August,4.0,1.0,7.6,Philippines,PHILIPPINE ISLANDS,10.811,126.638,,1.0,0.3,,1.0
2012,September,4.0,1.0,7.6,Costa Rica,COSTA RICA,10.085,-85.315,,2.0,,,20.0
2012,October,4.0,1.0,7.7,Canada,BRITISH COLUMBIA,52.788,-132.101,,1.0,,,
2012,November,4.0,1.0,7.3,Guatemala,GUATEMALA,13.988,-91.895,,48.0,210.0,2769.0,155.0
2012,December,4.0,1.0,7.2,Japan,OFF EAST COAST OF HONSHU ISLAND,37.89,143.949,,,,,11.0
2013,January,4.0,1.0,7.5,United States,"SE. ALASKA, AK",55.393,-134.652,,,,,
2013,February,4.0,1.0,7.9,Solomon Islands,SANTA CRUZ ISLANDS,-10.766,165.114,,10.0,36.0,588.0,15.0
2013,February,4.0,1.0,7.0,Solomon Islands,SANTA CRUZ ISLANDS,-10.928,166.018,,,,,
2013,July,4.0,1.0,6.5,New Zealand,COOK STRAIT,-41.704,174.337,,,,,5.0
2013,August,4.0,1.0,6.5,New Zealand,WELLINGTON,-41.731,174.027,,,,,
2013,October,4.0,1.0,6.6,Greece,CRETE,35.514,23.252,,,,,1.0
2013,October,4.0,1.0,7.1,Japan,E. COAST HONSHU ISLAND,37.2,144.6,,,,,1.0
2013,November,4.0,1.0,7.7,Antarctica,SCOTIA SEA,-60.274,-46.401,,,,,
2014,March,4.0,1.0,6.7,Chile,NORTHERN CHILE,-19.965,-70.814,,,,,
2014,April,4.0,1.0,8.2,Chile,NORTHERN CHILE,-19.61,-70.769,,7.0,100.0,,
2014,April,4.0,1.0,7.7,Chile,NORTHERN CHILE,-20.571,-70.493,,,,,
2014,April,4.0,1.0,7.6,Solomon Islands,SOLOMON ISLANDS,-11.27,162.148,,,,,
2014,April,4.0,1.0,7.4,Solomon Islands,SOLOMON ISLANDS,-11.463,162.051,,,,,
2014,April,4.0,1.0,7.2,Mexico,S. MEXICO,17.397,-100.972,,,,,
2014,April,4.0,1.0,7.5,Papua New Guinea,SOLOMON SEA,-6.755,155.024,,,,,
2014,May,4.0,1.0,6.9,Greece,NORTH AEGEAN SEA,40.24,25.33,,3.0,4500.0,,310.0
2014,June,4.0,1.0,6.9,New Zealand,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-29.977,-177.725,,,,,
2014,June,4.0,1.0,7.9,United States,"ALEUTIAN ISLANDS, AK",51.849,178.735,,,,,
2014,July,4.0,1.0,6.5,Japan,SANRIKU,37.005,142.453,,,,,
2014,July,4.0,1.0,6.1,United States,"PALMA BAY, AK",58.306,-136.96,,,,,
2014,October,4.0,1.0,7.0,Chile,EASTER ISLAND REGION,-32.108,-110.811,,,,,
2014,October,4.0,1.0,7.3,El Salvador,GULF OF FONSECA,12.526,-88.123,,1.0,,5.0,
2015,February,4.0,1.0,6.7,Japan,HONSHU,39.856,142.881,,,,,
2015,February,4.0,1.0,6.4,Vanuatu,VANUATU ISLANDS,-16.431,168.148,,,,,
2015,March,4.0,1.0,7.5,Papua New Guinea,BISMARCK SEA,-4.729,152.562,,,,,
2015,July,4.0,1.0,6.7,Solomon Islands,SOLOMON ISLANDS,-9.307,158.403,,,,,
2015,July,4.0,1.0,7.0,Solomon Islands,SANTA CRUZ ISLANDS,-10.401,165.141,,,,,
2015,July,4.0,1.0,6.9,United States,"FOX ISLANDS, ALEUTIAN ISLANDS, AK",52.214,-169.399,,,,,
2015,September,4.0,1.0,8.3,Chile,CENTRAL CHILE,-31.573,-71.674,,15.0,600.0,2305.0,14.0
2015,November,4.0,1.0,6.9,Chile,CENTRAL CHILE,-29.46,-72.12,,,,,
2015,November,4.0,1.0,6.7,Japan,JAPAN,31.001,128.873,,,,,
2015,November,4.0,1.0,6.8,Solomon Islands,SOLOMON ISLANDS,-8.899,158.422,,,,,
2016,January,4.0,1.0,6.3,Morocco,MOROCCO,35.649,-3.682,,1.0,,,26.0
2016,March,4.0,1.0,7.8,Indonesia,SW. SUMATRA,-4.952,94.33,,,,,
2016,April,4.0,1.0,7.8,Ecuador,OFF COAST,0.35,-80.16,,663.0,3300.0,6998.0,6274.0
2016,August,4.0,1.0,7.2,New Caledonia,LOYALTY ISLANDS,-22.477,173.117,,,,,
2016,August,4.0,1.0,6.0,Japan,SANRIKU,40.394,143.68,,,,,
2016,September,4.0,1.0,7.0,New Zealand,GISBORNE,-37.359,179.146,,,,,
2016,November,4.0,1.0,7.8,New Zealand,OFF EAST COAST OF SOUTH ISLAND,-42.737,173.054,,2.0,3900.0,1.0,
2016,November,4.0,1.0,6.9,Japan,E. COAST HONSHU ISLAND,37.393,141.387,,,,,
2016,November,4.0,1.0,6.9,Nicaragua,NICARAGUA,11.96,-88.835,,,,,
2016,December,4.0,1.0,7.8,Solomon Islands,SOLOMON ISLANDS,-10.681,161.327,,1.0,,191.0,
2016,December,4.0,1.0,6.9,Solomon Islands,SOLOMON ISLANDS,-10.749,161.132,,,,,
2016,December,4.0,1.0,7.9,Papua New Guinea,SOLOMON SEA,-4.505,153.522,,,,,
2016,December,4.0,1.0,7.6,Chile,SOUTHERN CHILE,-43.517,-74.391,,,,,
2017,January,4.0,1.0,6.9,Fiji,FIJI ISLANDS,-19.373,176.052,,,,,
2017,January,4.0,1.0,7.9,Papua New Guinea,BOUGAINVILLE ISLAND,-6.246,155.172,,3.0,,,
2017,April,4.0,1.0,6.9,Chile,CENTRAL CHILE,-33.038,-72.062,,,,,
2017,April,4.0,1.0,6.9,Philippines,"SOCCSKSARGEN, PHILIPPINES",5.504,125.066,,,,1.0,7.0
2017,May,4.0,1.0,6.2,United States,"SKAGWAY, AK",59.852,-136.677,,,,,
2017,June,4.0,1.0,6.3,Greece,LESBOS,38.93,26.365,,1.0,,10.0,15.0
2017,July,4.0,1.0,7.7,Russian Federation,BERING ISLAND,54.443,168.857,,,,,
2017,July,4.0,1.0,6.6,Turkey,GULF OF GÖKOVA,36.929,27.414,,2.0,,,500.0
2017,September,4.0,1.0,8.2,Mexico,S. MEXICO,14.761,-94.103,,98.0,4000.0,47468.0,251.0
2017,October,4.0,1.0,6.7,New Caledonia,LOYALTY ISLANDS,-21.697,169.149,,,,,
2017,November,4.0,1.0,6.6,New Caledonia,LOYALTY ISLANDS,-21.648,168.859,,,,,
2017,November,4.0,1.0,6.3,New Caledonia,LOYALTY ISLANDS,-21.638,168.673,,,,,
2017,November,4.0,1.0,6.6,New Caledonia,LOYALTY ISLANDS,-21.503,168.598,,,,,
2017,November,4.0,1.0,7.0,New Caledonia,LOYALTY ISLANDS,-21.325,168.672,,,,,
2018,January,4.0,1.0,7.5,Honduras,OFF COAST OF HONDURAS,17.483,-83.52,,,,,
2018,January,4.0,1.0,7.1,Peru,S. PERU,-15.982,-74.512,,,,,
2018,January,4.0,1.0,7.9,United States,"KODIAK ISLAND, AK",56.004,-149.166,,,,,
2018,May,4.0,1.0,5.4,Japan,S. OF HONSHU ISLAND,31.444,140.193,,,,,
2018,August,4.0,1.0,6.9,Indonesia,BALI SEA,-8.258,116.438,,560.0,509.0,,7733.0
2018,August,4.0,1.0,8.2,Fiji,FIJI ISLANDS,-18.113,-178.153,,,,,
2018,August,4.0,1.0,7.1,New Caledonia,LOYALTY ISLANDS,-22.03,170.126,,,,,
2018,October,4.0,1.0,6.5,New Caledonia,LOYALTY ISLANDS,-21.743,169.522,,,,,
2018,October,4.0,1.0,6.8,Greece,IONIAN SEA,37.52,20.557,,,,,3.0
2018,December,4.0,1.0,7.5,New Caledonia,LOYALTY ISLANDS,-21.95,169.427,,,,,
2019,June,4.0,1.0,6.4,Chile,CENTRAL CHILE,-30.056,-72.082,,,,,
2019,June,4.0,1.0,7.2,New Zealand,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-30.805,-178.095,,,,,
2019,June,4.0,1.0,6.4,Japan,NIIGATA,38.646,139.472,,,,,28.0
2019,November,4.0,1.0,7.1,Indonesia,N. MOLUCCAS ISLANDS,1.6,126.416,,1.0,,,3.0
2020,January,4.0,1.0,6.4,Usa Territory,PUERTO RICO,17.916,-66.813,,4.0,800.0,300.0,
2020,January,4.0,1.0,7.7,Cuba,OFF SE COAST,19.44,-78.755,,,,1.0,
2020,March,4.0,1.0,7.5,Russian Federation,N. KURIL ISLANDS,48.986,157.693,,,,,
2020,May,4.0,1.0,6.6,Greece,CRETE,34.205,25.712,,,,,
2020,June,4.0,1.0,7.4,New Zealand,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-33.294,-177.838,,,,,
2020,June,4.0,1.0,7.4,Mexico,OFF OF COAST OF OAXACA,16.029,-95.901,,10.0,,,24.0
2020,July,4.0,1.0,7.8,United States,"SHUMAGIN ISLANDS, AK",55.03,-158.522,,,,,
2020,October,4.0,1.0,7.6,United States,"SHUMAGIN ISLANDS, AK",54.608,-159.655,,,,,
2020,October,4.0,1.0,7.0,Turkey,AEGEAN SEA,37.918,26.79,,118.0,400.0,,1054.0
2020,December,4.0,1.0,6.7,Chile,CENTRAL CHILE,-39.343,-74.99,,,,,
2021,January,4.0,1.0,6.9,Antarctica,SCOTIA SEA,-61.825,-55.494,,,,,
2021,February,4.0,1.0,7.7,New Caledonia,LOYALTY ISLANDS,-23.054,171.601,,,,,
2021,February,4.0,1.0,7.1,Japan,OFF FUKUSHIMA PREFECTURE,37.745,141.749,,1.0,7700.0,798.0,186.0
2021,March,4.0,1.0,7.3,New Zealand,GISBORNE,-37.563,179.444,,,,,
2021,March,4.0,1.0,7.4,New Zealand,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-29.613,-177.843,,,,,
2021,March,4.0,1.0,8.1,New Zealand,"S OF RAOUL ISLAND, KERMADEC ISLANDS",-29.74,-177.267,,,,,
2021,March,4.0,1.0,6.0,Algeria,N. ALGERIA,36.915,5.199,,,,,17.0
2021,July,4.0,1.0,8.2,United States,"KODIAK ISLAND, AK",55.325,-157.841,,,,,
2021,August,4.0,1.0,7.1,Philippines,"MINDANAO ISLAND, PHILIPPINES",6.455,126.742,,1.0,,,
2021,August,4.0,1.0,8.1,Uk Territory,SOUTHERN ATLANTIC OCEAN,-58.416,-25.321,,,,,
2021,August,4.0,1.0,7.2,Haiti,PORT-AU-PRINCE,18.408,-73.475,,2248.0,1600.0,53815.0,12763.0
2021,September,4.0,1.0,7.0,Mexico,S. MEXICO,16.982,-99.773,,3.0,200.0,,
2021,December,4.0,1.0,7.3,Indonesia,FLORES SEA,-7.603,122.2,,,,41.0,1.0
2022,January,4.0,1.0,6.5,New Zealand,KERMADEC ISLANDS,-29.531,-176.749,,,,,
